,Artist,Song,Emotion
1875,Shop Boyz,Party Like A Rock Star,happy
1876,Sia,I Go To Sleep,relaxed
1877,Sick Of It All,Consume (LP Version),sad
1878,Sick Of It All,Death Or Jail,angry
1879,Sick Puppies,Master Of The Universe,sad
1880,Sick Puppies,Street Fighter ,angry
1881,Sick Puppies,War,angry
1882,Sidewalk Prophets,You Can Have Me,happy
1883,Silverchair,Cicada,angry
1884,Silverchair,The Door,sad
1885,Silverchair,Tomorrow,sad
1886,Silversun Pickups,Growing Old Is Getting Old,angry
1887,Silversun Pickups,Waste It On,sad
1888,Simon & Garfunkel,Homeward Bound,relaxed
1889,Simon & Garfunkel,Patterns,sad
1890,Simply Red,Thrill Me,happy
1891,Sin Fang,Always Everything,sad
1892,Sinead O'Connor,War,angry
1893,Six Feet Under,Seed Of Filth,sad
1894,Six Feet Under,Shadow Of The Reaper,sad
1895,Skeeter Davis,I Can't Stay Mad At You,angry
1896,Skeletonwitch,Upon Wings Of Black,angry
1897,Skeletonwitch,Where The Light Has Failed,angry
1898,Skeletonwitch,Within My Blood,angry
1899,Skillet,Live Free Or Let Me Die,angry
1900,Skillet,The Last Night,sad
1901,Skindred,Pressure,angry
1902,Skrape,Searching For Home,relaxed
1903,Slaughter,Mad About You,angry
1904,Slayer,Cult,angry
1905,Slayer,Evil Has No Boundaries,angry
1906,Slayer,Fight Till Death,angry
1907,Slayer,Ghosts of War,angry
1908,Slayer,Here Comes the Pain,angry
1909,Slayer,Necrophobic,sad
1910,Slayer,War Ensemble,angry
1911,Slayer,War Zone,angry
1912,Slayer,Warzone,angry
1913,Sleepy Sun,Freedom Line,relaxed
1914,Sly & The Family Stone,Family Affair,relaxed
1915,Small Faces,Itchycoo Park,happy
1916,Smashing Pumpkins,Bullet With Butterfly Wings,angry
1917,Smashing Pumpkins,Disarm,angry
1918,Smashing Pumpkins,I Am One,angry
1919,Smashing Pumpkins,Soma,angry
1920,Smith Westerns,Fallen In Love,relaxed
1921,Smokey Robinson,I Can't Give You Anything But Love,happy
1922,Sneaker Pimps,Bloodsport,happy
1923,Social Distortion,Ring Of Fire,angry
1924,Soft Cell,Tainted Love,happy
1925,Solid Gold,Who You  Gonna Run To?,angry
1926,Solomon Burke,None Of Us Are Free,relaxed
1927,Someone Still Loves You Boris Yeltsin,Everlyn,sad
1928,Someone Still Loves You Boris Yeltsin,In Pairs,happy
1929,Son Volt,Drown,angry
1930,Sonic Youth,Incinerate,sad
1931,Sonic Youth,Reena,relaxed
1932,Sonicflood,I Could Sing Of Your Love Forever,happy
1933,Sonny James,Young Love,happy
1934,Sonora Santanera,Donde Estas Yolanda,sad
1935,Sons And Daughters,Johnny Cash,relaxed
1936,Sophie Milman,I'm On Fire,angry
1937,Soraya,Llevame,sad
1938,Soul For Real,Candy Rain,relaxed
1939,Soundgarden,Let Me Drown,angry
1940,Soundgarden,Rhinosaur,sad
1941,Soundgarden,Rusty Cage,sad
1942,Spank Rock,What It Look Like,sad
1943,Spirit,Fresh Garbage,sad
1944,Spooky Tooth,Evil Woman,angry
1945,Spoon,You Got Yr. Cherry Bomb,angry
1946,Stacey Kent,What A Wonderful World,relaxed
1947,Stacie Orrico,Love Came Down,happy
1948,Staind,Home,angry
1949,Staind,Mudshovel,angry
1950,Starfucker,Astoria,happy
1951,Starfucker,Millions,angry
1952,Starfucker,The White Of Noon,angry
1953,Stars,Fixed,sad
1954,Stateless,Assassinations,sad
1955,Static-X,Bled For Days,angry
1956,Static-X,Dirthouse,sad
1957,Steel Panther,Death To All But Metal,sad
1958,Steel Pulse,Blazing Fire ,angry
1959,Steel Pulse,We Can Do It,angry
1960,Steel Train,Firecracker,sad
1961,Steel Train,I Feel Weird,angry
1962,Stereophonics,Maybe Tomorrow,relaxed
1963,Steve Miller Band,Sweet Home Chicago,relaxed
1964,Steven Curtis Chapman,All About Love,happy
1965,Steven Curtis Chapman,Not Home Yet,relaxed
1966,Stevie Ray Vaughan & Double Trouble,Willie The Wimp ,sad
1967,Stevie Wonder,Come Back as a Flower,relaxed
1968,Stevie Wonder,Creepin',relaxed
1969,Stevie Wonder,For Your Love,happy
1970,Stevie Wonder,Happy Birthday,happy
1971,Stevie Wonder,Lookin' For Another Pure Love,happy
1972,Stevie Wonder,One Little Christmas Tree,relaxed
1973,Stevie Wonder,Ordinary Pain,angry
1974,Stevie Wonder,Outside My Window,relaxed
1975,Stevie Wonder,Sweetest Somebody I Know,happy
1976,Sting,I Hung My Head,sad
1977,Sting,It's Probably Me,angry
1978,Stone Temple Pilots,Unglued,sad
1979,Stone Temple Pilots,Wicked Garden,angry
1980,Streetlight Manifesto,Sick And Sad,sad
1981,Strike Anywhere,The Promise,sad
1982,Sublime,Jailhouse,angry
1983,Sufjan Stevens,Vesuvius,angry
1984,Sugarbomb,Posterchild for Tragedy,angry
1985,Suicidal Tendencies,Human Guinea Pig,sad
1986,Supertramp,Bloody Well Right,angry
1987,Surface,Happy,happy
1988,Surfer Blood,Take It Easy,relaxed
1989,Susan Boyle,Silent Night,relaxed
1990,Suuns,Organ Blues,happy
1991,Symphony X,Serpent's Kiss,angry
1992,System Of A Down,War?,angry
1993,System of a Down,War?,angry
1994,T. Graham Brown,I Tell It Like It Used To Be,happy
1995,TKA,Louder Than Love,happy
1996,TLC,Sleigh Ride,happy
1997,Tab Benoit,Can't You See,sad
1998,Taddy Porter,Shake Me,sad
1999,Taio Cruz,Dirty Picture ,sad
2000,Take 6,I Saw Three Ships,happy
2001,Take 6,You Don't Have To Be Afraid,angry
2002,Talking Heads,Blind,sad
2003,Tame Impala,The Bold Arrow Of Time,sad
2004,Tamela Mann,Joy Of The Lord,happy
2005,Tank,Sex Music,happy
2006,Tanya Tucker,Down To My Last Teardrop,relaxed
2007,Tanya Tucker,Some Kind Of Trouble,angry
2008,Tarralyn Ramsey,Peace Of God,relaxed
2009,Tarralyn Ramsey,Unconditional Love,happy
2010,Taylor Dayne,I'll Always Love You,happy
2011,Ted Leo & The Pharmacists,Army Bound,sad
2012,Ted Leo & The Pharmacists,The Ballad Of The Sin Father,angry
2013,Ted Nugent,Cat Scratch Fever,sad
2014,Ted Weems,Heartaches,happy
2015,Teddy Pendergrass,"Easy, Easy, Got To Take It Easy",relaxed
2016,Teddy Pendergrass,Joy,happy
2017,Teena Marie,Portuguese Love,happy
2018,Teena Marie,Young Love,happy
2019,Teenage Fanclub,The Sun Shines From You,relaxed
2020,Tegan And Sara,I Hear Noises,sad
2021,Telekinesis,I Got You,relaxed
2022,Temple Of The Dog,Hunger Strike,sad
2023,Ten Years After,I'm Going Home,relaxed
2024,Tenacious D,The Metal,sad
2025,Terri Clark,I Just Wanna  Be Mad,angry
2026,Tesla,Love Song,happy
2027,Tesla,Paradise,relaxed
2028,Testament,Apocalyptic City ,angry
2029,Th' Legendary Shack Shakers,Swampblood,sad
2030,The Afters,All That I Am,happy
2031,The Album Leaf,Falling From The Sun,sad
2032,The Allman Brothers Band,Revival,happy
2033,The Allman Brothers Band,You Don't Love Me,happy
2034,The Apples In Stereo,Dream About The Future,relaxed
2035,The Archies,"Sugar, Sugar",relaxed
2036,The Art Of Noise,Moments In Love,happy
2037,The Association,Never My Love,happy
2038,The Autumn Defense,Step Easy,relaxed
2039,The Avalanches,Flight Tonight,angry
2040,The Babys,Every Time I Think Of You,happy
2041,The Beach Boys,God Only Knows,happy
2042,The Beach Boys,Good Vibrations,relaxed
2043,The Beach Boys,"Merry Christmas, Baby",happy
2044,The Beach Boys,Surfer Girl,relaxed
2045,The Beach Boys,The Warmth Of The Sun,relaxed
2046,The Beach Boys,Wouldn't It Be Nice,relaxed
2047,The Beatles,All You Need Is Love,happy
2048,The Beatles,And I Love Her,happy
2049,The Beatles,Birthday,happy
2050,The Beatles,Can't Buy Me Love,happy
2051,The Beatles,For You Blue,relaxed
2052,The Beatles,Free As A Bird,relaxed
2053,The Beatles,Golden Slumbers,relaxed
2054,The Beatles,Good Night,relaxed
2055,The Beatles,Goodnight,relaxed
2056,The Beatles,Happiness Is A Warm Gun,angry
2057,The Beatles,Happiness is a Warm Gun,angry
2058,The Beatles,Her Majesty,relaxed
2059,The Beatles,Here Comes The Sun,relaxed
2060,The Beatles,Honey Don't,relaxed
2061,The Beatles,I Should Have Known Better,happy
2062,The Beatles,I Want You,angry
2063,The Beatles,I Want You ,angry
2064,The Beatles,I'm Happy Just To Dance With You,happy
2065,The Beatles,In My Life,happy
2066,The Beatles,Love Me Do,happy
2067,The Beatles,Love Me Do ,happy
2068,The Beatles,Maggie Mae,sad
2069,The Beatles,Maxwell's Silver Hammer,sad
2070,The Beatles,Octopus's Garden,relaxed
2071,The Beatles,P.S. I Love You,happy
2072,The Beatles,Real Love,happy
2073,The Beatles,Thank You Girl ,relaxed
2074,The Beatles,The End,happy
2075,The Beatles,Two Of Us,relaxed
2076,The Beatles,Wild Honey Pie,relaxed
2077,The Beatles,Yer Blues,sad
2078,The Beatles,Your Mother Should Know,happy
2079,The Bee Gees,Lonely Days,sad
2080,The Bee Gees,Night Fever,sad
2081,The Bee Gees,To Love Somebody,happy
2082,The Bee Gees,Tragedy,angry
2083,The Big Pink,Love In Vain,happy
2084,The Black Dahlia Murder,What A Horrible Night To Have A Curse,sad
2085,The Black Keys,Next Girl,relaxed
2086,The Blackbyrds,Happy Music,happy
2087,The Blackbyrds,Walking In Rhythm,relaxed
2088,The Blind Boys Of Alabama,Down By The Riverside ,angry
2089,The Blues Brothers,Sweet Home Chicago,relaxed
2090,The Breeders,Do You Love Me Now?,happy
2091,The Breeders,New Year,relaxed
2092,The Brian Jonestown Massacre,Sailor,sad
2093,The Brian Jonestown Massacre,Wisdom,happy
2094,The Brian Setzer Orchestra,The Dirty Boogie,sad
2095,The Brooklyn Tabernacle Choir,Happy Birthday Jesus,happy
2096,The Cardigans,Carnival,happy
2097,The Cardigans,Lovefool,happy
2098,The Cardigans,Paralyzed,angry
2099,The Carpenters,Have Yourself A Merry Little Christmas,happy
2100,The Carpenters,"Merry Christmas, Darling",happy
2101,The Carpenters,Ticket To Ride,sad
2102,The Chemical Brothers,Another World,happy
2103,The Chi-Lites,Toby,sad
2104,The Clark Sisters,Jesus Is A Love Song,happy
2105,The Clash,Hate And War,angry
2106,The Clash,I'm So Bored With The U.S.A.,sad
2107,The Clash,Tommy Gun,angry
2108,The Clash,White Riot,angry
2109,The Concretes,You Can't Hurry Love,happy
2110,The Cowsills,"The Rain, The Park And Other Things",relaxed
2111,The Cult,Fire Woman,angry
2112,The Cult,Sun King,relaxed
2113,The Cure,All Cats Are Grey,sad
2114,The Cure,Fascination Street,sad
2115,The Cure,Lovesong,happy
2116,The Cure,Prayers For Rain,sad
2117,The Cure,The End of The World,happy
2118,The Cure,The Perfect Girl,relaxed
2119,The Damned Things,Handbook For The Recently Deceased,angry
2120,The Dan Band,Christmakwanzakah,happy
2121,The Dandy Warhols,The Dope ,happy
2122,The Dead Weather,No Horse,sad
2123,The Decemberists,This Is Why We Fight,angry
2124,The Derek Trucks Band,Rastaman Chant,relaxed
2125,The Devil Wears Prada,Dez Moines,sad
2126,The Diamonds,The Stroll,relaxed
2127,The Dirty Dozen Brass Band,Ruler Of My Heart ,angry
2128,The Doors,Horse Latitudes,sad
2129,The Doors,Light My Fire,angry
2130,The Doors,Love Her Madly,happy
2131,The Doors,The Spy,angry
2132,The Doors,Waiting For The Sun,relaxed
2133,The Dramatics,Get Up And Get Down,sad
2134,The Drifters,Save The Last Dance For Me,relaxed
2135,The Drifters,Some Kind Of Wonderful,relaxed
2136,The Drums,I Need Fun In My Life,happy
2137,The Duke Spirit,The Step And The Walk,happy
2138,The Emotions,Don't Ask My Neighbors,angry
2139,The Everly Brothers,All I Have To Do Is Dream,relaxed
2140,The Everly Brothers,Let It Be Me,happy
2141,The Everly Brothers,Lonely Street,sad
2142,The Everly Brothers,So Lonely,sad
2143,The Everly Brothers,When Will I Be Loved,happy
2144,The Five Keys,Close Your Eyes,happy
2145,The Five Keys,The Glory Of Love,happy
2146,The Fixx,Deeper And Deeper ,sad
2147,The Fixx,Saved By Zero,happy
2148,The Flaming Lips,Sagittarius Silver Announcement,relaxed
2149,The Flaming Lips,The Sparrow Looks Up At The Machine,sad
2150,The Flaming Lips,Yoshimi Battles The Pink Robots,angry
2151,The Flamingos,I'll Be Home,relaxed
2152,The Flying Lizards,Money ,happy
2153,The Foreign Exchange,If This Is Love ,happy
2154,The Four Tops,When She Was My Girl,relaxed
2155,The Gap Band,Yearning For Your Love,happy
2156,The Gap Band,You Dropped A Bomb On Me,angry
2157,The Gathering,Locked Away,angry
2158,The Georgia Mass Choir,Joy,happy
2159,The Go! Team,Rolling Blackouts,sad
2160,The Grateful Dead,Fire On The Mountain,angry
2161,The Grateful Dead,Till The Morning Comes,relaxed
2162,The Heartbeats,A Thousand Miles Away,relaxed
2163,The Heavy,Set Me Free,relaxed
2164,The Herbaliser,Gadget Funk,angry
2165,The Hollies,The Air That I Breathe,relaxed
2166,The Honey Drippers,Sea Of Love,happy
2167,The Hundred In The Hands,Dead Ending,sad
2168,The Infamous Stringdusters,Starry Night,relaxed
2169,The Innocence Mission,Gentle The Rain At Home,relaxed
2170,The Isley Brothers,Fight The Power Part 1,angry
2171,The J. Geils Band,Looking For A Love,happy
2172,The Jackson 5,ABC,relaxed
2173,The Jackson 5,Give Love On Christmas Day,happy
2174,The Jackson 5,Have Yourself A Merry Little Christmas,happy
2175,The Jackson 5,Maybe Tomorrow,relaxed
2176,The Jesus & Mary Chain,Just Like Honey,relaxed
2177,The Jesus & Mary Chain,The Hardest Walk,sad
2178,The Jimi Hendrix Experience,Stone Free,relaxed
2179,The Judds,Love Can Build A Bridge,happy
2180,The Killers,A White Demon Love Song (Soundtrack Album Version),angry
2181,The Kills,Getting Down,angry
2182,The Kills,U.R.A. Fever,sad
2183,The Kinks,Everybody's Gonna Be Happy,happy
2184,The Kinks,Set Me Free,relaxed
2185,The Kooks,If Only,angry
2186,The Lemonheads,Dirty Robot,sad
2187,The Little Willies,Night Life,happy
2188,The Majors,A Wonderful Dream,relaxed
2189,The Mamas & The Papas,Words Of Love,happy
2190,The Mars Volta,Asilos Magdalena,sad
2191,The Marshall Tucker Band,Heard It In A Love Song,happy
2192,The Meters,Chicken Strut,sad
2193,The Meters,Fire On The Bayou,angry
2194,The Midnighters,Sexy Ways ,happy
2195,The Mighty Mighty Bosstones,So Sad To Say,sad
2196,The Misfits,The Haunting,sad
2197,The Motels,Only The Lonely,sad
2198,The Museum,Never Look Away,angry
2199,The Naked And Famous,All Of This,sad
2200,The O'Jays,Christmas Ain't Christmas ,happy
2201,The O'Jays,For The Love Of Money,happy
2202,The O'Jays,Have Yourself A Merry Little Christmas,happy
2203,The Oak Ridge Boys,Fancy Free,relaxed
2204,The Ohio Players,Love Rollercoaster,happy
2205,The Pains Of Being Pure At Heart,Even In Dreams,angry
2206,The Pains Of Being Pure At Heart,Everything With You,sad
2207,The Paris Sisters,I Love How You Love Me,happy
2208,The Peter Malick Group,All Your Love ,happy
2209,The Pixies,La La Love You,happy
2210,The Platters,I Love You 1000 Times,happy
2211,The Platters,On My Word Of Honor,happy
2212,The Platters,With This Ring,happy
2213,The Pointer Sisters,Fire,angry
2214,The Police,So Lonely,sad
2215,The Pretenders,Kid,sad
2216,The Pretenders,Thumbelina,relaxed
2217,The Prodigy,Breathe,angry
2218,The Prodigy,Girls,happy
2219,The Prodigy,One Love,happy
2220,The Prodigy,Shoot Down,angry
2221,The Psychedelic Furs,Heaven,relaxed
2222,The Radio Dept.,Heaven's On Fire,angry
2223,The Ramones,53rd & 3rd,sad
2224,The Ramones,Merry Christmas ,happy
2225,The Ramones,Surfin' Bird,relaxed
2226,The Rapture,House Of Jealous Lovers,relaxed
2227,The Rapture,Killing,sad
2228,The Rascals,I'm So Happy Now (Single Version),happy
2229,The Rascals,People Got To Be Free,relaxed
2230,The Raveonettes,Evil Seeds,angry
2231,The Raveonettes,Heart Of Stone,angry
2232,The Raveonettes,War In Heaven,angry
2233,The Red Hot Chili Peppers,Behind The Sun,relaxed
2234,The Red Hot Chili Peppers,Blood Sugar Sex Magik,happy
2235,The Red Hot Chili Peppers,Fight Like A Brave,angry
2236,The Red Hot Chili Peppers,Fire,angry
2237,The Red Hot Chili Peppers,Fortune Faded,sad
2238,The Red Hot Chili Peppers,Scar Tissue,sad
2239,The Replacements,Skyway,sad
2240,The Robert Cray Band,Smoking Gun,angry
2241,The Rolling Stones,Gimme Shelter,angry
2242,The Rolling Stones,Going Home,relaxed
2243,The Rolling Stones,Hang Fire,angry
2244,The Rolling Stones,Happy,happy
2245,The Rolling Stones,I Just Want To Make Love To You,happy
2246,The Rolling Stones,Melody,relaxed
2247,The Rolling Stones,Not Fade Away,happy
2248,The Rolling Stones,Sway,angry
2249,The Rolling Stones,Tie You Up (The Pain of Love),angry
2250,The Rolling Stones,We Love You,happy
2251,The Ronettes,"Baby, I Love You",happy
2252,The Ronettes,Do I Love You,happy
2253,The Roots,The Fire ,angry
2254,The S.O.S. Band,Take Your Time ,relaxed
2255,The Secret Sisters,The One I Love Is Gone,relaxed
2256,The Sex Pistols,Liar,angry
2257,The Shirelles,Will You Love Me Tomorrow,happy
2258,The Smithereens,Too Much Passion,happy
2259,The Smiths,Ask,angry
2260,The Smiths,London,sad
2261,The Smiths,Meat Is Murder,sad
2262,The Staple Singers,Respect Yourself,relaxed
2263,The Statler Brothers,Bed Of Roses,relaxed
2264,The Stooges,No Fun,happy
2265,The Stylistics,You're A Big Girl Now,relaxed
2266,The Suburbs,Love Is The Law,happy
2267,The Suicide Machines,Burning In The Aftermath,angry
2268,The Supremes,Baby Love,happy
2269,The Supremes,My Christmas Tree,relaxed
2270,The Sword,Freya,sad
2271,The Sylvers,Boogie Fever,sad
2272,The Teddy Bears,To Know Him Is To Love Him,happy
2273,The Temper Trap,Love Lost,angry
2274,The Temptations,Christmas Everyday,happy
2275,The Temptations,Give Love On Christmas Day,happy
2276,The Temptations,I Want A Love I Can See,happy
2277,The Temptations,You're My Everything,relaxed
2278,The Thermals,Your Love Is So Strong,happy
2279,The Thompson Twins,King For A Day,happy
2280,The Ting Tings,That's Not My Name,sad
2281,The Trammps,Disco Inferno,angry
2282,The Tymes,So Much In Love,happy
2283,The Used,Blue And Yellow,sad
2284,The Used,Burning Down The House,angry
2285,The Vaselines,Molly's Lips,happy
2286,The Vaselines,You Think You're A Man,relaxed
2287,The Wannadies,Skin,happy
2288,The Whispers,It's A Love Thing,happy
2289,The Whispers,My Heart Your Heart,happy
2290,The White Tie Affair,Candle ,sad
2291,The Who,Gettin' In Tune,relaxed
2292,The Who,I'm Free,relaxed
2293,The Who,Long Live Rock,sad
2294,The Who,Love Reign O'er Me,relaxed
2295,The Winans,Uphold Me,happy
2296,The Young Rascals,I've Been Lonely Too Long,sad
2297,Theory Of A Deadman,Hate My Life,angry
2298,Third Day,God Of Wonders,relaxed
2299,Third Day,I Believe,happy
2300,Third Day,I've Always Loved You,happy
2301,Third Day,Joy To The World,happy
2302,Third Day,Merry Christmas,happy
2303,Third Day,Silent Night,relaxed
2304,Thirty Seconds To Mars,This Is War,angry
2305,Thomas Dolby,Dissidents (The Search For Truth Part 1) (2009 Digital Remaster),sad
2306,Thompson Square,Let's Fight,angry
2307,Thousand Foot Krutch,Fire It Up,angry
2308,Three Days Grace,Animal I Have Become,angry
2309,Three Days Grace,Home,relaxed
2310,Three Days Grace,Pain,angry
2311,Three Days Grace,Riot,angry
2312,Three Dog Night,An Old Fashioned Love Song,happy
2313,Three Dog Night,Black & White,relaxed
2314,Three Dog Night,Joy To The World,happy
2315,Three Dog Night,The Family Of Man,relaxed
2316,Three Plus,Honey Baby,relaxed
2317,Three Plus,Two Person Party,relaxed
2318,Three Plus,Undercover Lover,relaxed
2319,Thrice,The Earth Isn't Humming,sad
2320,Tiesto,Who Wants To Be Alone ,relaxed
2321,Tim McGraw,It's Your Love ,happy
2322,Times Of Grace,Fight For Life,angry
2323,Timi Yuro,Hurt,angry
2324,Tinariwen,Matadjem Yinmixan,angry
2325,Tinsley Ellis,Speak No Evil,angry
2326,Tito Nieves,Mi Eterno Amor Secreto,sad
2327,Tiziano Ferro,Tardes Negras,sad
2328,Toby Beau,My Angel Baby,relaxed
2329,Todd Agnew,Joy Unspeakable,happy
2330,Tokyo Police Club,Big Difference,sad
2331,Tom Jones,Without Love ,happy
2332,Tom Jones,Without Love (There Is Nothing),happy
2333,Tom Petty,It's Good To Be King,relaxed
2334,Tommy Castro,Sho' Enough,happy
2335,Tommy Dorsey & His Orchestra,I'll Never Smile Again,happy
2336,Tommy Dorsey & His Orchestra,I'll Never Smile Again ,happy
2337,Tommy James & The Shondells,Crystal Blue Persuasion,relaxed
2338,Tonex,God Has Not 4got,happy
2339,Tonic,You Wanted More,happy
2340,Tony Bennett,Because Of You,happy
2341,Tony Bennett,Lullaby Of Broadway ,relaxed
2342,Tony Carey,I Won't Be Home Tonight,relaxed
2343,Tool,Part Of Me,sad
2344,Toots & The Maytals,Pressure Drop,angry
2345,Toots & The Maytals,True Love Is Hard To Find ,happy
2346,Toro Y Moi,Light Black,sad
2347,Tower Of Power,Give Me Your Love,happy
2348,Train,Cab,sad
2349,Trans-Siberian Orchestra,Christmas Jam,happy
2350,Trans-Siberian Orchestra,The Silent Nutcracker ,relaxed
2351,Trans-Siberian Orchestra,This Christmas Day,relaxed
2352,Trashmen,Surfin' Bird,relaxed
2353,Tricky,Murder Weapon,angry
2354,Trivium,Shattering The Skies Above,angry
2355,Turtles,Happy Together,happy
2356,Twila Paris,Perfect Peace,relaxed
2357,Twinkie Clark,Bless You Real Good,relaxed
2358,Twisted Sister,Burn In Hell,angry
2359,Two Door Cinema Club,Undercover Martyn,sad
2360,Ty Segall,Sad Fuzz,sad
2361,Tye Tribbett & G.A.,Still Have Joy,happy
2362,Tyrese,One,relaxed
2363,U2,Angel Of Harlem,relaxed
2364,U2,I Fall Down,sad
2365,U2,October,sad
2366,U2,Pride ,happy
2367,U2,The Refugee,angry
2368,U2,The Three Sunrises,happy
2369,U2,Window In The Skies,happy
2370,UNKLE,Hold My Hand,sad
2371,Ultimate,It's My Birthday,happy
2372,Uman,The way to Peace,relaxed
2373,Underoath,A Boy Brushed Red Living In Black And White,angry
2374,Underworld,Beautiful Burnout,relaxed
2375,Underworld,Hamburg Hotel,sad
2376,Unearth,Endless,angry
2377,Unwritten Law,Save Me,sad
2378,Usher,Burn,angry
2379,Usher,I'll Show You Love,happy
2380,Usher,There Goes My Baby,relaxed
2381,VHS Or Beta,Love In My Pocket,happy
2382,Vampire Weekend,Mansard Roof,sad
2383,Van Halen,Runnin' With The Devil,angry
2384,Van Morrison,Crazy Love,happy
2385,Vanessa Bell Armstrong,Desire Of My Heart,happy
2386,Vanessa Williams,Joy To The World ,happy
2387,Vanessa Williams,Lazy Afternoon,sad
2388,Vanessa Williams,My Flame,happy
2389,Vanilla Fudge,You Keep Me Hangin' On,happy
2390,Velvet Revolver,Fall To Pieces,sad
2391,Venom,Warhead,angry
2392,Veruca Salt,Seether,angry
2393,Vicente Fernandez,El Rey,sad
2394,Vicente Fernandez,Si Te Vas No Hay Lio,sad
2395,Vickie Winans,The Rainbow,relaxed
2396,Victor Garcia,Mi Funeral,sad
2397,Victor Manuelle,Asi Es La Mujer,sad
2398,Victor Manuelle,Nunca Habia Llorado Asi ,sad
2399,Vince Gill,Blue Christmas,relaxed
2400,Vince Gill,Do You Hear What I Hear,relaxed
2401,Vince Gill,Let There Be Peace On Earth,relaxed
2402,Vince Gill,Take Your Memory With You,sad
2403,Vince Gill,When I Call Your Name,sad
2404,Vince Vance & The Valiants,All I Want For Christmas Is You,relaxed
2405,Visions Of Atlantis,Conquest Of Others,angry
2406,Visions Of Atlantis,Twist Of Fate,angry
2407,Vivian Girls,All The Time,sad
2408,Vivian Girls,I Heard You Say,sad
2409,Vreid,Disciplined,angry
2410,Wadsworth Mansion,Sweet Mary,relaxed
2411,Waka Flocka Flame,Bang ,sad
2412,Waka Flocka Flame,Bustin' At 'Em,sad
2413,Waking The Cadaver,Boss Status,angry
2414,Walls Of Jericho,A Trigger Full Of Promises,angry
2415,Walter Hawkins,Never Alone,sad
2416,Wanda Jackson,Nervous Breakdown,angry
2417,War,Me And Baby Brother,relaxed
2418,War,Outlaw,angry
2419,War,The World Is A Ghetto,relaxed
2420,Warbringer,Total War,angry
2421,Warpaint,Composure,sad
2422,Warpaint,Set Your Arms Down,angry
2423,Warrant,Sometimes She Cries,sad
2424,Warren Haynes,On A Real Lonely Night,sad
2425,Wavves,Mickey Mouse,sad
2426,Wavves,Super Soaker,sad
2427,Wayne Brady,Can't Buy Me Love,happy
2428,Wayne Fontana & The Mindbenders,The Game Of Love,happy
2429,We Are Scientists,Pittsburgh,relaxed
2430,We Were Promised Jetpacks,Ships With Holes Will Sink,sad
2431,Weekend,End Times,sad
2432,White Fence,Harness,relaxed
2433,Whitesnake,Love Ain't No Stranger,happy
2434,Whitesnake,Love Ain't No Stranger (2003 Digital Remaster),happy
2435,Whitney Houston,All The Man That I Need,happy
2436,Whitney Houston,Have Yourself A Merry Little Christmas,happy
2437,Whitney Houston,I Will Always Love You,happy
2438,Whitney Houston,Joy ,happy
2439,Whitney Houston,Miracle,happy
2440,Whitney Houston,My Love Is Your Love,happy
2441,Whitney Houston,You Give Good Love,happy
2442,Wilco,War On War,angry
2443,Will Downing,Home,relaxed
2444,Will Downing,Lover's Melody ,relaxed
2445,Willie Nelson,Always On My Mind,relaxed
2446,Willie Nelson,Blue Christmas,relaxed
2447,Willie Nelson,Blue Skies,relaxed
2448,Willie Nelson,Let It Be Me,happy
2449,Willie Nelson,Night Life,happy
2450,Willie Nelson,Night Life ,happy
2451,Willie Nelson,Uncloudy Day,relaxed
2452,Willie Nelson,What a Wonderful World,relaxed
2453,Willie Nelson & Leon Russell,Heartbreak Hotel,sad
2454,Willie Nelson & Wynton Marsalis,Night Life,happy
2455,Wilson Phillips,Silent Night,relaxed
2456,Wilson Phillips,You're In Love,happy
2457,Wilson Pickett,Don't Let The Green Grass Fool You,relaxed
2458,Wilson Pickett,I'm In Love,happy
2459,Wings,Silly Love Songs,happy
2460,Wire,Feeling Called Love,happy
2461,Wire,I Am the Fly,sad
2462,Wire,Reuters,angry
2463,Wolf Parade,I'll Believe In Anything,angry
2464,Wolf Parade,This Heart's On Fire,angry
2465,Women,Locust Valley,sad
2466,Women,Narrow With The Hall,sad
2467,Wyclef Jean,Midnight Lovers,sad
2468,Wye Oak,Civilian,relaxed
2469,Yeah Yeah Yeahs,Dull Life,angry
2470,Yeah Yeah Yeahs,Maps,happy
2471,Yes,I've Seen All Good People,relaxed
2472,Yolanda Adams,Give Love On Christmas Day,happy
2473,Young Galaxy,The Angels Are Surely Weeping,sad
2474,Yves Larock,Rise Up,relaxed
2475,Z-Trip,Walking Dead ,angry
2476,Z.Z. Hill,Down Home Blues,relaxed
2477,ZZ Top,Arrested For Driving While Blind,sad
2478,ZZ Top,Blue Jean Blues,relaxed
2479,Zac Brown Band,Free,relaxed
2480,Zapp & Roger,Slow And Easy,relaxed
2481,Zebra,One More Chance,happy
2482,Zero 7,Ghost Symbol,relaxed
2483,Zeromancer,The Death Of Romance,sad
2484,Ziggy Marley,Family Time,relaxed
2485,Ziggy Marley And The Melody Makers,New Love,happy
2486,Zoe,Love,happy
2487,Zoe,Reptilectric,sad
2488,abc,poison_arrow,angry
2489,air,sexy_boy,happy
2490,alicia_keys,fallin,happy
2491,cardigans,lovefool,happy
2492,cat_power,he_war,angry
2493,chantal_kreviazuk,surrounded,angry
2494,devo,girl_u_want,relaxed
2495,eels,cancer_for_the_cure,angry
2496,elvis_presley,heartbreak_hotel,sad
